part name,symbol,size (imp),max current,unit price,units per build,units in stock,On Order,order total,Manufacturer ID,source url,MacroFab HP,datasheet,datasheet2,,
C 0.1uF,"C1, C4, C6, C7, C8, C10, C13",603,,$0.02,7,400,SMD Binder - Capacitors,$0.15,C0603C104K4RACTU,http://www.digikey.com/product-detail/en/C0603C104K4RACTU/399-1096-1-ND/411371,,MF-CAP-0603-0.1uF,http://www.kemet.com/docfinder?Partnumber=C0603C104K4RACTU,,
C 4.7uF,C2,,,$0.05,1,8,SMD Binder - Capacitors,$0.05,C0603C475K9PACTU,http://www.digikey.com/product-detail/en/C0603C475K9PACTU/399-3482-1-ND/754775,http://www.mouser.com/ProductDetail/Kemet/C0603C475K9PACTU/?qs=sGAEpiMZZMs0AnBnWHyRQND6%252bblqzsHrvPWmvQdbhFI%3d,N,,,
C 2.2nF (2200pF) X7R 50V,C3,603,,$0.01,1,94,SMD Binder - Capacitors,$0.01,C0603C222K5RACTU,http://www.digikey.com/product-detail/en/C0603C222K5RACTU/399-1085-1-ND/411360,http://www.mouser.com/ProductDetail/Kemet/C0603C222K5RACTU/?qs=sGAEpiMZZMs0AnBnWHyRQFqPnX0OlvcoEeor2YsHDUE%3d,N,,,
C 2.2uF,"C9, C14, C15",603,,$0.05,3,92,SMD Binder - Capacitors,$0.14,C0603C225K9PACTU,http://www.digikey.com/product-detail/en/C0603C225K9PACTU/399-3362-1-ND/650351,http://www.mouser.com/ProductDetail/Kemet/C0603C225K9PACTU/?qs=sGAEpiMZZMs0AnBnWHyRQJIiGvDVk92V8FIBbbmgLZk%3d,,,,
C 1uF X7R,"C5, C12",603,,$0.03,2,20,SMD Binder - Capacitors,$0.06,TMK107B7105KA-T,http://www.digikey.com/product-detail/en/TMK107B7105KA-T/587-2984-1-ND/2714177,,MF-CAP-0603-1uF,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TMK107B7105KA-T&fileName=TMK107B7105KA-T_SS&mode=specSheetDownload,,
C 10uF X5R,C11,1206,,$0.24,1,80,SMD Binder - Capacitors,$0.24,C3216X5R1C106M160AA,http://www.digikey.com/product-detail/en/C3216X5R1C106M160AA/445-1426-1-ND/569092,,MF-CAP-1206-10uF,http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,,
red led,"D3, D5",,,$0.19,2,71,SMD Binder - Diodes,$0.37,LTST-C190KRKT,http://www.digikey.com/product-detail/en/LTST-C190KRKT/160-1436-1-ND/386816,,MF-LED-0603-RED,http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,,
yellow led,D2,,,$0.20,1,87,SMD Binder - Diodes,$0.20,LTST-C190KSKT,http://www.digikey.com/product-detail/en/LTST-C190KSKT/160-1437-1-ND/386818,,N,http://optoelectronics.liteon.com/upload/download/DS-22-99-0189/S_110_LTST-C190KSKT.pdf,,
green led,D1,,,$0.19,1,83,SMD Binder - Diodes,$0.19,LTST-C190KGKT,http://www.digikey.com/product-detail/en/LTST-C190KGKT/160-1435-1-ND/386814,,Y,http://optoelectronics.liteon.com/upload/download/DS22-2000-074/S_110_LTST-C190KGKT.pdf,,
Power OR Diode,D4,,500mA,$0.49,1,6,SMD Binder - Diodes,$0.49,"PMEG2005CT,215","http://www.digikey.com/product-detail/en/PMEG2005CT,215/568-6500-1-ND/2531787",http://www.mouser.com/ProductDetail/NXP/PMEG2005CT215/?qs=%2fha2pyFadujeRJ0LUdYAUQ7GGmCJoX%2fQtruQCVwS66am9yCVxfsS9g%3d%3d,N,http://www.nxp.com/documents/data_sheet/PMEG2005CT.pdf,,
~3.5mm Spacer,Off Board,,,$0.08,4,81,SMD Binder - Connectors,$0.33,908-140,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey908-140,,N,,,
Nylon Hex Nut,Off Board,,,$0.10,8,94,SMD Binder - Connectors,$0.76,4688,http://www.mouser.com/ProductDetail/Keystone-Electronics/4688/?qs=%2fha2pyFadugwKlV1%2f3f%252bwz2X2xZbV6YALQKDCdqFnUvlpor63Lf6RQ%3d%3d,,N,,,
usb otg,P3,,500mA,$0.46,1,7,SMD Binder - Connectors,$0.46,10118193-0001LF,http://www.digikey.com/product-detail/en/10118193-0001LF/609-4616-1-ND/2785380,http://www.mouser.com/ProductDetail/FCI/10118193-0001LF/?qs=%2fha2pyFadujdGYiRLwYbSOKALiSo%252bepJVRcIj9hkdZjVBFUo3HGQQw%3d%3d,MF-CON-MICROUSB-RIGHT,,,
